"","SRR3162129","SRR3162132","SRR3162135","SRR3162138","SRR3162144","SRR3162150","SRR3162157","SRR3162158","SRR3162164","SRR3162169","SRR3162171","SRR3162183","SRR3162200","SRR3162201","SRR3162206","SRR3162174","SRR3162175","SRR3162176","SRR3162209","SRR3162210","SRR3162213","SRR3162214","SRR3162215","SRR3162219","SRR3162221","SRR3162223","SRR3162224","SRR3162228","SRR3162229","SRR3162230","SRR3162232","SRR3162237","SRR3162243","SRR3162245","SRR3162246","SRR3162250","SRR3162252","SRR3162255","SRR3162258","SRR3162261","SRR3162262","SRR3162265","SRR3162266","SRR3162267","SRR3162177","SRR3162178","SRR3162180","SRR3162181","SRR3162189","SRR3162268","SRR3162279","SRR3162286","SRR3162299","SRR3162301","SRR3162311","SRR3162334","SRR3162335","SRR3162342","SRR3162346","SRR3162348","SRR3162351","SRR3162355","SRR3162357","SRR3162367","SRR3162368","SRR3162313","SRR3162370","SRR3162371","SRR3162379","SRR3162380","SRR3162382","SRR3162314","SRR3162385","SRR3162386","SRR3162390","SRR3162391","SRR3162393","SRR3162315","SRR3162317","SRR3162318","SRR3162320","SRR3162321","SRR3162322","SRR3162324","SRR3162338"
"10:102157019-102158214",9.42693473456749,6.59544199596006,12.6958036414845,8.37114057285569,16.9870259727507,12.3216014436409,8.10138559742773,0,11.4215816315698,9.78634799969931,9.73962162431364,14.1274122218242,7.21404588772003,8.69822225628114,0,5.08350100788016,19.5304755085397,15.7580671006192,17.7569157226451,12.7939972505731,17.3173347046602,11.0066402459592,10.2074212170338,11.3159984403194,15.8944396846624,0,10.5234666894269,13.9167406989202,21.1608272916815,12.6743513078604,12.4974629809796,9.54449537047726,13.7185123672055,14.1610053339253,20.010913550919,0,7.07840103328769,5.16263374784955,13.7709211475722,3.12947981007478,8.40532622718603,9.54622455915233,8.88685757551271,9.05748964320744,26.5416938181724,11.9863158400168,10.3051256466171,18.4795893102485,10.4329774031563,6.03757129774806,9.7176885425708,9.66476568137263,11.7593929370665,6.50311659349902,8.85489754275087,3.6942834151733,11.9195514228558,18.317347090983,10.6794356123138,16.6607129283154,13.2551745065435,0,8.1723106879082,11.205180496789,8.83302922875093,9.73869115531352,9.81853950624725,7.58877423831432,9.31457143199228,14.8951068828527,9.20862910885807,25.0867709101941,8.37107026944869,18.2693786295827,3.83714043451532,10.7677925621681,9.63338787930669,20.9928412957682,6.43399374899639,8.2428120855177,10.9327952675885,4.52820241173232,15.3041590138981,13.5841635551914,9.1366118110456
"10:103171390-103174982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90580129056372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6942834151733,0,0,0,0,0,0,0.340512945329508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10:103347238-103348999",4.71346736728374,5.12978821908005,0,0,5.09610779182521,0,2.85931256379802,0,4.56863265262792,4.89317399984965,4.23461809752767,4.23822366654726,0,3.26183334610543,0,5.59185110866818,2.79006792979138,4.72742013018577,2.31611944208415,4.87390371450404,6.59707988748961,0,5.10371060851688,5.65799922015972,7.30285066592595,0,2.33854815320598,2.8993209789417,5.64288727778174,0,4.16582099365985,3.67095975787587,0,7.08050266696264,1.90580129056372,0,2.83136041331507,10.3252674956991,3.70755569357712,3.12947981007478,3.73570054541601,5.20703157771945,4.35274656759806,4.69647611129275,1.94207515742725,5.67772855579744,1.37401675288227,7.81828778510515,5.4648929254628,0,2.99005801309871,9.02044796928112,1.56791905827553,5.1095916091778,6.64117315706315,9.23570853793326,3.72485981964242,0,1.64299009420212,0,4.93215795592318,0,5.10769417994263,4.64605044988813,2.76032163398467,5.84321469318811,2.86374068932211,1.68639427518096,4.65728571599614,4.25574482367219,2.45563442902882,2.78741899002157,6.69685621555895,4.98255780806801,0,3.16699781240239,4.81669393965334,0,0,0,4.20492125676482,4.52820241173232,0,6.41474390106262,0
"10:103409339-103409607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01880160782155,0,0,0
"10:103438015-103438808",25.9240705200606,10.9924033266001,20.3132858263752,23.0206365753531,15.2883233754756,19.7145623098255,11.9138023491584,21.8735120292371,35.4069030578663,14.2346879995626,17.3619341998635,15.5401534440066,7.21404588772003,11.9600556023866,35.8054185354082,7.11690141103222,13.9503396489569,13.3943570355263,14.6687564665329,4.87390371450404,14.8434297468516,27.5166006148981,22.966697738326,10.7501985183035,20.1902341940306,7.53912240411017,16.9544741107433,15.6563332862852,11.2857745555635,21.123918846434,13.8860699788662,8.07611146732691,15.2427915191173,11.8008377782711,14.2935096792279,22.0148608192157,11.3254416532603,10.3252674956991,12.7116195208358,14.0826591453365,11.207101636248,13.0175789442986,8.52412869487954,7.71563932569522,16.8313180310361,10.093739654751,6.18307538797024,9.95054809013383,9.43936050761757,24.1502851909922,16.4453190720429,16.1079428022877,23.518785874133,8.82565823403439,17.2670502083642,16.6242753682799,19.3692710621406,20.1490818000813,13.143920753617,16.6607129283154,10.789095528582,0,9.87487541455575,8.74550672920119,11.0412865359387,14.2834136944598,7.77301044244574,12.226358495062,22.1221071509817,12.0579436670712,9.82253771611528,13.0079552867673,21.7647827005666,21.9232543554992,12.7904681150511,18.3685873119339,16.5143792216686,20.9928412957682,21.446645829988,12.1217824787025,11.353287393265,18.1128096469293,30.6083180277961,18.8668938266548,18.2732236220912
"10:103439746-103440850",4.71346736728374,11.7252302150401,7.61748218489068,4.18557028642784,5.09610779182521,4.92864057745637,7.6248335034614,0,4.56863265262792,2.66900399991799,4.23461809752767,2.11911183327363,0,0,0,5.59185110866818,8.37020378937414,2.36371006509288,4.63223888416829,7.92009353606906,1.6492699718724,0,15.3111318255506,5.09219929814375,6.01411231311549,0,3.50782222980897,2.8993209789417,0,4.22478376928681,0,5.87353561260139,3.04855830382345,14.1610053339253,8.57610580753672,0,8.49408123994522,0,12.7116195208358,0,4.66962568177002,5.20703157771945,5.25956876918099,5.0319386906708,8.41565901551807,4.41601109895356,6.87008376441137,2.84301374003824,4.96808447769346,9.05635694662208,2.99005801309871,3.86590627254905,10.9754334079287,4.64508328107073,3.54195901710035,0,5.95977571142788,0,3.28598018840424,9.99642775698926,10.1725757840916,0,2.89436003530082,4.64605044988813,3.86445028757853,3.89547646212541,4.09105812760302,3.79438711915716,12.4194285759897,2.12787241183609,5.52517746531484,15.7953742767889,6.69685621555895,5.64689884914374,2.55809362301021,5.06719649984382,8.94528874507049,10.4964206478841,0,3.3940990940367,4.20492125676482,0,15.3041590138981,3.01870301226476,9.1366118110456
"10:104008177-104018908",9.42693473456749,13.9237108803601,7.61748218489068,10.4639257160696,3.39740519455014,4.92864057745637,9.05448978536041,0,7.99510714209885,37.8108899988382,8.89269800480811,11.3019297774594,7.21404588772003,3.26183334610543,0,11.1837022173364,8.37020378937414,10.2427436154025,13.1246768384768,6.70161760744305,6.59707988748961,16.5099603689389,10.2074212170338,3.39479953209583,24.9156081543356,22.6173672123305,7.01564445961794,4.63891356630672,14.1072181944543,6.33717565393021,6.94303498943309,8.07611146732691,0,4.72033511130843,3.81160258112743,0,15.5724822732329,0,10.5930162673632,15.6473990503739,6.53747595447803,12.1497403480121,17.5923507107088,12.0766528576099,20.0681099600816,10.093739654751,8.93110889373479,15.6365755702103,4.96808447769346,15.0939282443701,8.97017403929612,13.5306719539217,18.0310691701686,8.36114990592732,12.8396014369888,11.0828502455199,5.21480374749939,18.317347090983,4.10747523550531,6.66428517132618,15.1047337400147,0,9.53436246922624,14.758042605527,12.1454151895325,6.49246077020901,4.09105812760302,16.8639427518096,9.31457143199228,4.25574482367219,6.75299467982925,3.71655865336209,33.4842810777947,6.97558093129521,5.11618724602043,6.33399562480478,6.19289220812573,24.4916481783962,8.57865833199518,16.0007528718873,5.88688975947074,33.206817686037,10.202772675932,7.16941965412882,16.7504549869169
"10:1077907-1078558",0,0,0,0,3.39740519455014,0,0,0,0,0,1.2703854292583,0,0,0,0,0,0,1.57580671006192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05930162673632,0,0,0,0.544093320949758,0,0,0,0,0,0,0,1.49502900654935,0,0,0,0,0,1.48994392785697,0,0,0,0,0,0,0.546594170575074,0,0,0,0,0,0,0,0,0,0.664341041075734,0,0,0,0,0,0,0,0,0,0,0
"10:1080011-1080476",0,0,7.61748218489068,0,0,0,0,0,0,3.11383799990432,2.96423266826937,0,10.8210688315801,4.34911112814057,5.50852592852433,1.52505030236405,0,2.36371006509288,1.5440796280561,1.82771389293901,1.6492699718724,0,5.10371060851688,3.96059945411181,1.71831780374728,0,4.67709630641196,1.73959258736502,0,0,6.94303498943309,0,6.09711660764691,0,0,0,0,7.74395062177432,1.05930162673632,0,1.86785027270801,6.07487017400603,1.63227996284927,1.67731289689027,3.23679192904541,0,1.37401675288227,0,2.98085068661608,6.03757129774806,3.73757251637339,2.57727084836603,1.56791905827553,1.85803331242829,2.21372438568772,7.3885668303466,1.48994392785697,0,2.46448514130318,13.3285703426524,0,0,1.19179530865328,3.55286210873798,0,3.89547646212541,4.90926975312362,0.84319713759048,1.16432142899904,2.12787241183609,3.06954303628602,0,0,2.32519364376507,2.55809362301021,3.16699781240239,9.63338787930669,0,8.57865833199518,1.4546138974443,2.52295275405889,7.54700401955387,0,0.754675753066191,0
"10:1084403-1096246",0,0,0,0,0,9.85728115491274,0.953104187932675,0,6.85294897894187,0,3.38769447802214,0,0,2.17455556407028,0,2.54175050394008,2.79006792979138,0,0,3.65542778587803,2.4739049578086,0,0,1.69739976604792,3.00705615655775,0,4.09245926811046,1.73959258736502,0,0,2.77721399577323,1.46838390315035,3.04855830382345,4.72033511130843,2.85870193584557,0,4.24704061997261,0,1.05930162673632,0,0,5.20703157771945,1.45091552253269,1.67731289689027,0,1.26171745684387,4.80905863508796,2.84301374003824,1.49042534330804,6.03757129774806,2.99005801309871,7.08749483300659,3.13583811655106,3.71606662485659,2.21372438568772,0,1.48994392785697,5.4952041272949,2.46448514130318,0,0.616519744490397,0,3.91589887128935,2.45967376758783,6.07270759476626,0,3.68195231484272,5.05918282554288,5.82160714499518,3.54645401972682,1.84172582177161,0,3.34842810777947,0.996511561613602,0,0,5.50479307388953,0,0,1.4546138974443,3.78442913108834,3.01880160782155,0,5.66006814799643,0
